user_id,city,device_type,kyc_level,account_age_months,account_age_band,active_days_per_month,transactions_per_day,monthly_transaction_count,avg_transaction_amount,max_transaction_amount,total_monthly_spend,merchant_txn_ratio,peer_txn_ratio,merchant_count_month,peer_count_month,failed_transactions,failed_txn_ratio,refund_requests,refund_ratio,night_txn_ratio,weekend_txn_ratio,session_count,app_open_frequency,avg_session_duration_min,avg_gap_between_txn_hours,spend_volatility,avg_balance_before_txn,cashback_usage_ratio,suspicious_activity_score
UPI00001,Mumbai,Android,Minimum,28,2y+,17,5.12,109,246.96,683.99,28538.33,0.562,0.393,53,56,4,0.0504,0,0.0029,0.073,0.321,66,111,2.14,3.72,0.359,5464.53,0.333,26.91
UPI00002,Chennai,Android,Premium,11,6-12m,14,1.55,20,517.36,1066.87,11178.3,0.611,0.422,20,0,0,0.0119,1,0.0502,0.113,0.292,33,50,4.18,31.47,0.476,2894.69,0.327,13.03
UPI00003,Pune,Android,Premium,31,2y+,17,3.96,54,894.5,2600.47,45782.65,0.498,0.551,14,44,4,0.0808,1,0.0186,0.102,0.365,31,41,6.2,12.27,0.409,7560.72,0.279,32.01
UPI00004,Chennai,Android,Minimum,14,1-2y,11,9.99,110,1358.09,4488.76,151267.94,0.565,0.35,57,53,23,0.2184,1,0.0108,0.614,0.598,41,117,9.17,4.02,0.535,47098.46,0.373,77.72
UPI00005,Ahmedabad,Android,Full,29,2y+,16,11.99,167,493.71,2021.13,73530.16,0.258,0.742,29,141,23,0.1572,4,0.0259,0.553,0.448,44,84,7.42,3.23,0.847,55402.11,0.31,78.22
UPI00006,Ahmedabad,Android,Full,33,2y+,21,6.02,104,213.15,438.67,25820.07,0.841,0.184,63,40,3,0.0342,2,0.0214,0.174,0.422,52,78,2.68,2.07,0.241,18225.15,0.491,29.79
UPI00007,Hyderabad,iOS,Minimum,9,6-12m,18,5.28,88,702.77,1324.82,56242.5,0.828,0.191,55,33,6,0.0759,2,0.0318,0.092,0.427,23,34,3.37,7.09,0.262,31593.91,0.477,44.56
UPI00008,Delhi,Android,Full,30,2y+,22,8.89,182,201.64,732.21,30264.11,0.698,0.312,108,77,5,0.0313,1,0.0082,0.211,0.347,79,184,9.53,6.26,0.798,16629.12,0.438,38.19
UPI00009,Mumbai,Android,Full,16,1-2y,23,5.12,121,736.49,2830.05,75430.6,0.949,0.045,116,0,0,0.0007,0,0.0066,0.167,0.227,52,71,6.66,5.17,0.451,53770.17,0.438,12.36
UPI00010,Mumbai,Android,Full,12,6-12m,28,6.77,154,62.07,180.09,11026.34,0.592,0.399,75,80,3,0.0291,2,0.0174,0.137,0.386,75,117,3.75,3.07,0.384,4107.74,0.409,29.6
UPI00011,Mumbai,iOS,Minimum,10,6-12m,8,1.34,18,338.95,1039.73,5968.16,0.602,0.344,5,10,2,0.1145,1,0.0579,0.123,0.293,12,12,5.16,40.55,0.492,4071.97,0.364,31.17
UPI00012,Pune,Android,Minimum,25,2y+,16,4.58,88,4756.22,8286.79,447210.95,0.762,0.251,58,27,3,0.0398,0,0.0076,0.145,0.352,34,54,4.37,7.49,0.115,44839.62,0.346,20.62
UPI00013,Bengaluru,Android,Full,23,1-2y,25,4.18,108,2005.05,6976.58,187019.87,0.474,0.539,32,81,17,0.1689,7,0.074,0.552,0.455,115,196,6.24,5.29,0.719,129168.55,0.377,73.32
UPI00014,Chennai,Android,Full,37,2y+,15,5.18,87,348.75,755.21,24926.5,0.481,0.553,37,51,2,0.0355,2,0.0238,0.155,0.388,69,98,3.16,5.42,0.272,9815.86,0.369,25.75
UPI00015,Hyderabad,Android,Full,11,6-12m,5,0.8,4,683.18,1481.87,3123.79,0.575,0.399,0,3,0,0.0087,3,0.2,0.023,0.229,4,6,3.82,175.32,0.273,50,0.384,27.44
UPI00016,Pune,iOS,Premium,15,1-2y,21,10.25,192,215.56,674.41,43719.5,0.606,0.442,105,92,4,0.0326,0,0.0066,0.059,0.294,56,96,3.6,2.68,0.442,23217.66,0.345,38.42
UPI00017,Mumbai,iOS,Premium,28,2y+,14,5.15,66,938.34,1742.77,63858.98,0.705,0.305,35,33,0,0.0053,0,0.0017,0.104,0.344,24,36,6.77,8.28,0.258,38553.25,0.335,19.71
UPI00018,Mumbai,Android,Full,27,2y+,9,2.24,16,708.4,1629.9,9710.87,0.627,0.414,9,10,0,0.0012,0,0.0052,0.134,0.451,17,29,1.76,45.4,0.261,4634.38,0.403,7.37
UPI00019,Bengaluru,Android,Full,19,1-2y,7,6.18,41,368.11,1177.0,12982.5,0.316,0.801,15,24,30,0.35,9,0.2,0.532,0.476,30,62,8.07,17.88,0.68,8801.89,0.312,100
UPI00020,Bengaluru,Android,Minimum,1,0-6m,20,3.8,35,2163.27,6115.54,73545.73,0.776,0.206,17,18,4,0.1156,0,0.0019,0.127,0.205,37,42,4.91,19.11,0.212,41131.49,0.362,44.9
UPI00021,Hyderabad,Android,Minimum,19,1-2y,25,9.85,256,236.62,509.68,53714.91,0.637,0.358,120,138,4,0.0221,0,0.0032,0.174,0.391,57,96,7.84,5.11,0.246,7409.36,0.364,19.05
UPI00022,Pune,Android,Full,19,1-2y,20,5.56,125,1567.63,5205.29,222163.77,0.331,0.735,23,97,12,0.1046,11,0.0936,0.378,0.493,82,234,5.78,3.76,0.717,144286.86,0.271,58.69
UPI00023,Hyderabad,Android,Full,26,2y+,4,1.08,2,332.95,900.11,741.77,0.435,0.495,0,1,2,0.35,1,0.2,0.081,0.395,12,19,6.41,250,0.392,1299.99,0.247,84.71
UPI00024,Delhi,Android,Minimum,24,1-2y,6,1.4,11,628.12,1755.67,6878.2,0.36,0.717,0,8,1,0.1019,1,0.0925,0.088,0.386,12,16,4.99,63.8,0.447,2813.2,0.217,41.92
UPI00025,Bengaluru,Android,Minimum,1,0-6m,6,1.8,16,585.18,1285.78,8473.27,0.545,0.455,5,14,0,0.0034,1,0.0644,0.12,0.495,12,18,2.37,41.81,0.167,2940.99,0.308,14.41
UPI00026,Hyderabad,Android,Full,25,2y+,24,9.1,215,276.82,986.23,56232.87,0.656,0.379,104,106,7,0.0394,1,0.0062,0.07,0.309,73,154,5.07,3.6,0.52,37407.79,0.408,38.22
UPI00027,Kolkata,Android,Minimum,27,2y+,17,4.57,84,1846.31,4142.84,153205.86,0.694,0.298,42,46,3,0.0461,2,0.0262,0.128,0.321,38,52,8.06,8.27,0.169,60520.39,0.438,35.23
UPI00028,Hyderabad,iOS,Full,30,2y+,25,6.61,185,306.83,760.63,47677.74,0.639,0.39,121,58,0,0.0116,2,0.0131,0.063,0.353,98,170,5.21,3.09,0.294,7279.3,0.343,21.48
UPI00029,Bengaluru,Android,Premium,29,2y+,21,1.99,59,661.63,1355.22,36041.98,0.529,0.514,29,29,2,0.0399,0,0.0013,0.085,0.286,51,87,4.45,16.14,0.217,19065.48,0.302,29.73
UPI00030,Chennai,Android,Full,31,2y+,17,15.46,253,926.39,2335.57,249243.4,0.342,0.564,70,181,32,0.1409,5,0.0249,0.598,0.629,70,132,11.5,0.77,0.59,172761.78,0.298,83.56
UPI00031,Ahmedabad,Android,Minimum,32,2y+,21,5.58,107,1168.62,3172.65,104953.23,0.827,0.169,61,45,2,0.0245,3,0.0348,0.187,0.323,37,76,2.94,0.99,0.288,44019.01,0.405,35.26
UPI00032,Kolkata,Android,Minimum,5,0-6m,22,6.32,147,144.31,292.94,19243.57,0.585,0.399,70,72,7,0.0546,2,0.014,0.128,0.361,71,100,4.08,1.71,0.328,8854.17,0.344,35.48
UPI00033,Bengaluru,Android,Minimum,33,2y+,22,4.9,103,330.97,1066.39,39212.73,0.47,0.572,43,58,1,0.0117,1,0.0148,0.122,0.251,53,94,6.83,5.08,0.448,28691.0,0.31,32.27
UPI00034,Kolkata,Android,Full,35,2y+,7,9.64,59,2590.58,10139.58,133732.14,0.216,0.85,12,46,24,0.35,4,0.0735,0.308,0.343,21,29,2.97,9.57,0.587,95690.52,0.278,99.79
UPI00035,Hyderabad,iOS,Minimum,4,0-6m,23,3.21,47,431.13,1565.57,17850.29,0.484,0.533,19,28,7,0.1611,0,0.0045,0.15,0.418,48,66,4.4,18.16,0.352,9425.25,0.303,53.96
UPI00036,Hyderabad,Android,Full,16,1-2y,14,4.05,80,1245.11,4417.61,86588.24,0.254,0.741,22,56,30,0.35,5,0.0633,0.494,0.687,43,77,6.35,13.91,0.86,60249.82,0.276,96.41
